sampleName,strainName,condition,experiment,rep,Raw Abs,Correct. OD,Date extracted
PTMET001,WT_RCY308,YNB_LYS,LYS.MUTANT,R1,,,20180217
PTMET002,WT_RCY308,YNB_LYS,LYS.MUTANT,R2,,,20180217
PTMET003,WT_RCY308,YNB_LYS,LYS.MUTANT,R3,,,20180217
PTMET004,WT_RCY308,YNB_LYS,LYS.MUTANT,R4,,,20180217
PTMET005,WT_RCY308,YNB_LYS,LYS.MUTANT,R5,,,20180217
PTMET006,WT_RCY308,YNB_LYS,LYS.MUTANT,R6,,,20180217
PTMET007,lys2_RCY256,YNB_LYS,LYS.MUTANT,R1,,,20180217
PTMET008,lys2_RCY256,YNB_LYS,LYS.MUTANT,R2,,,20180217
PTMET009,lys2_RCY256,YNB_LYS,LYS.MUTANT,R3,,,20180217
PTMET010,lys2_RCY256,YNB_LYS,LYS.MUTANT,R4,,,20180217
PTMET011,lys2_RCY256,YNB_LYS,LYS.MUTANT,R5,,,20180217
PTMET012,lys2_RCY256,YNB_LYS,LYS.MUTANT,R6,,,20180217
PTMET013,lys2_Deletion,YNB_LYS,LYS.MUTANT,R1,,,20180217
PTMET014,lys2_Deletion,YNB_LYS,LYS.MUTANT,R2,,,20180217
PTMET015,lys2_Deletion,YNB_LYS,LYS.MUTANT,R3,,,20180217
PTMET016,lys2_Deletion,YNB_LYS,LYS.MUTANT,R4,,,20180217
PTMET017,lys2_Deletion,YNB_LYS,LYS.MUTANT,R5,,,20180217
PTMET018,lys2_Deletion,YNB_LYS,LYS.MUTANT,R6,,,20180217
PTMET019,HO_Control,YNB_LYS,LYS.MUTANT,R1,,,20180217
PTMET020,HO_Control,YNB_LYS,LYS.MUTANT,R2,,,20180217
PTMET021,HO_Control,YNB_LYS,LYS.MUTANT,R3,,,20180217
PTMET022,HO_Control,YNB_LYS,LYS.MUTANT,R4,,,20180217
PTMET023,HO_Control,YNB_LYS,LYS.MUTANT,R5,,,20180217
PTMET024,HO_Control,YNB_LYS,LYS.MUTANT,R6,,,20180217
PTMET025,lys1_Deletion,YNB_LYS,LYS.MUTANT,R1,,,20180217
PTMET026,lys1_Deletion,YNB_LYS,LYS.MUTANT,R2,,,20180217
PTMET027,lys1_Deletion,YNB_LYS,LYS.MUTANT,R3,,,20180217
PTMET028,lys1_Deletion,YNB_LYS,LYS.MUTANT,R4,,,20180217
PTMET029,lys1_Deletion,YNB_LYS,LYS.MUTANT,R5,,,20180217
PTMET030,lys1_Deletion,YNB_LYS,LYS.MUTANT,R6,,,20180217
PTMET031,lys4_Deletion,YNB_LYS,LYS.MUTANT,R1,,,20180217
PTMET032,lys4_Deletion,YNB_LYS,LYS.MUTANT,R2,,,20180217
PTMET033,lys4_Deletion,YNB_LYS,LYS.MUTANT,R3,,,20180217
PTMET034,lys4_Deletion,YNB_LYS,LYS.MUTANT,R4,,,20180217
PTMET035,lys4_Deletion,YNB_LYS,LYS.MUTANT,R5,,,20180217
PTMET036,lys4_Deletion,YNB_LYS,LYS.MUTANT,R6,,,20180217
PTMET037,lys9_Deletion,YNB_LYS,LYS.MUTANT,R1,,,20180217
PTMET038,lys9_Deletion,YNB_LYS,LYS.MUTANT,R2,,,20180217
PTMET039,lys9_Deletion,YNB_LYS,LYS.MUTANT,R3,,,20180217
PTMET040,lys9_Deletion,YNB_LYS,LYS.MUTANT,R4,,,20180217
PTMET041,lys9_Deletion,YNB_LYS,LYS.MUTANT,R5,,,20180217
PTMET042,lys9_Deletion,YNB_LYS,LYS.MUTANT,R6,,,20180217
PTMET043,lys12_Deletion,YNB_LYS,LYS.MUTANT,R1,,,20180217
PTMET044,lys12_Deletion,YNB_LYS,LYS.MUTANT,R2,,,20180217
PTMET045,lys12_Deletion,YNB_LYS,LYS.MUTANT,R3,,,20180217
PTMET046,lys12_Deletion,YNB_LYS,LYS.MUTANT,R4,,,20180217
PTMET047,lys12_Deletion,YNB_LYS,LYS.MUTANT,R5,,,20180217
PTMET048,lys12_Deletion,YNB_LYS,LYS.MUTANT,R6,,,20180217
PTMET049,lys20_lys21,YNB_LYS,LYS.MUTANT,R1,,,20180217
PTMET050,lys20_lys21,YNB_LYS,LYS.MUTANT,R2,,,20180217
PTMET051,lys20_lys21,YNB_LYS,LYS.MUTANT,R3,,,20180217
PTMET052,lys20_lys21,YNB_LYS,LYS.MUTANT,R4,,,20180217
PTMET053,lys20_lys21,YNB_LYS,LYS.MUTANT,R5,,,20180217
PTMET054,lys20_lys21,YNB_LYS,LYS.MUTANT,R6,,,20180217
PTMET055,CTRL,Filter,LYS.MUTANT,Filter,,,20180217
PTMET056,CTRL,YNB_LYS,LYS.MUTANT,YNB_LYS,,,20180217
